ID,Age,Gender,Ethnicity,parent edu,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1,17,female,CaucAsian,bachelor,19.83372281,7,yes,2,0,0,1,0,2.929195592,2
2,18,male,CaucAsian,high school,15.40875606,0,no,1,0,0,0,0,3.042914833,1
3,15,male,Asian, school,4.210569769,26,no,2,0,0,0,0,0.112602254,4
4,17,female,CaucAsian, school,10.02882947,14,no,3,1,0,0,0,2.05421814,3
5,17,female,CaucAsian,bachelor,4.672495273,17,yes,3,0,0,0,0,1.288061182,4
6,18,male,CaucAsian,high school,8.191218545,0,no,1,1,0,0,0,3.084183614,1
7,15,male,African American,high school,15.60168047,10,no,3,0,1,0,0,2.748237415,2
8,15,female,African American,higher,15.42449631,22,yes,1,1,0,0,0,1.360142712,4
9,17,male,CaucAsian,none,4.562007558,1,no,2,0,1,0,1,2.89681919,2
10,16,female,CaucAsian,high school,18.44446636,0,no,3,1,0,0,0,3.57347421,0
11,17,male,CaucAsian,high school,11.85136366,11,no,1,0,0,0,0,2.147171625,3
12,17,male,CaucAsian,high school,7.598485819,15,no,2,0,0,0,1,1.559594519,4
13,17,male,African American,high school,10.03871162,21,no,3,1,0,0,0,1.520077815,4
14,17,male,African American,bachelor,12.10142507,21,no,4,0,1,0,0,1.751580958,4
15,18,female,CaucAsian,high school,11.19781064,9,yes,2,0,0,0,0,2.396788117,3
16,15,male,CaucAsian,bachelor,9.728100711,17,yes,0,0,1,0,0,1.341520717,4
17,18,male,others,high school,10.09865608,14,no,2,1,1,0,0,2.232175278,3
18,18,female,CaucAsian,none,3.528238209,16,yes,2,0,0,0,0,1.384404176,4
19,18,male,African American, school,16.25465809,29,no,2,1,0,0,1,0.469553323,4
20,17,male,CaucAsian,high school,10.8352064,9,no,2,0,0,1,0,2.395784095,3
21,16,female,CaucAsian, school,2.621597234,2,no,3,0,0,0,1,2.7784113,2
22,15,male,CaucAsian,bachelor,15.32314203,25,no,1,1,0,0,0,0.346894037,4
23,16,female,African American,none,18.64887957,29,yes,1,0,0,0,0,0.312546231,4
24,18,female,others,higher,18.94613798,20,no,2,1,0,0,0,1.770131877,4
25,18,female,CaucAsian,high school,7.380354648,15,no,2,0,0,0,0,1.505155622,4
26,16,female,CaucAsian, school,2.710337471,5,no,4,0,0,1,0,2.977851918,2
27,16,male,CaucAsian,high school,10.36799253,2,no,2,0,1,0,0,2.948717672,2
28,16,female,CaucAsian, school,2.252184587,8,no,3,0,0,1,0,2.14520472,3
29,18,male,CaucAsian,none,18.67974837,10,no,3,1,0,0,0,2.854803929,2
30,18,male,CaucAsian,bachelor,3.671592547,20,no,3,1,0,0,0,1.519441726,4
31,15,male,Asian,bachelor,5.055317199,12,yes,0,0,1,0,0,1.72712031,4
32,15,male,CaucAsian, school,8.132730538,17,no,4,0,0,0,1,1.847535471,4
33,18,male,CaucAsian, school,7.663289371,25,no,1,0,1,0,0,0.384616973,4
34,16,male,others, school,15.89325785,21,no,0,1,1,0,0,0.949406098,4
35,16,male,CaucAsian, school,9.126336411,27,yes,2,1,1,0,0,1.140959418,4
36,15,male,others,high school,3.4153652,23,no,1,0,0,0,0,0.26147226,4
37,18,male,CaucAsian,high school,5.34419791,26,yes,1,0,0,0,0,0.218284857,4
38,15,male,Asian,high school,10.1822677,21,yes,1,0,1,0,0,1.067763551,4
39,15,female,African American,high school,2.949078349,3,yes,1,1,1,0,0,3.018905858,1
40,17,female,Asian,high school,12.23311351,21,yes,3,1,1,0,0,1.526867832,4
41,17,female,others,bachelor,11.31494613,23,yes,1,0,0,0,0,1.0582874,4
42,17,male,CaucAsian,high school,14.29404633,7,no,2,0,0,0,0,2.625128098,2
43,16,female,others,bachelor,18.75409231,12,yes,4,0,0,0,0,2.808754822,2
44,18,female,CaucAsian,high school,18.24509122,9,no,2,0,1,0,0,2.888891669,2
45,18,female,CaucAsian,high school,18.92151236,1,yes,3,1,1,0,0,4,0
46,18,male,CaucAsian,bachelor,4.89431194,7,no,4,0,0,1,0,2.515300272,2
47,18,male,African American,bachelor,2.631306133,5,no,1,1,0,0,0,2.56376543,2
48,17,male,CaucAsian,bachelor,6.04553401,15,no,2,0,0,0,0,1.703611803,4
49,16,male,African American,bachelor,17.90170346,17,no,3,0,0,1,0,2.099885157,3
50,16,female,African American,high school,19.44106949,16,no,4,1,0,0,0,2.461046963,3
51,17,female,Asian,bachelor,17.18649902,5,no,3,0,0,0,0,2.935477192,2
52,16,female,Asian,none,2.200354423,12,yes,1,1,0,1,0,1.986378059,4
53,17,female,CaucAsian,high school,18.94855996,22,no,4,0,0,1,0,1.571544191,4
54,18,male,CaucAsian,bachelor,8.467160547,13,no,1,0,1,0,0,1.66431069,4
55,17,male,CaucAsian,none,0.186205815,29,yes,2,1,1,0,0,0.756259167,4
56,18,male,CaucAsian,high school,8.847874815,25,no,2,0,1,0,0,0.802769539,4
57,18,female,CaucAsian,higher,0.921383394,20,no,2,0,1,1,0,1.342387178,4
58,15,male,CaucAsian,higher,10.87755842,29,no,3,1,0,0,0,0.286571288,4
59,17,male,CaucAsian,high school,6.771080549,9,yes,3,0,1,0,0,2.613838694,2
60,15,female,others,none,9.468698672,23,no,3,0,1,0,0,0.929012555,4
61,17,female,African American,high school,12.26340721,10,no,0,1,0,1,0,1.892758696,4
62,17,male,CaucAsian,high school,17.37602192,12,no,2,0,0,1,0,2.331261549,3
63,15,male,African American, school,13.23803153,11,no,3,0,1,0,0,2.234238473,3
64,15,male,CaucAsian,high school,8.68097737,8,no,2,0,1,0,0,2.385828219,3
65,17,male,CaucAsian,bachelor,16.38855707,3,yes,4,0,0,0,0,3.347356744,1
66,16,male,African American,high school,18.11164275,6,yes,3,1,0,0,0,3.261855307,1
67,18,male,CaucAsian,higher,2.395199329,23,no,3,0,1,0,0,1.039623879,4
68,15,female,CaucAsian,high school,10.63865955,28,no,0,0,1,0,0,0.027818625,4
69,18,female,others,bachelor,5.690239195,21,yes,3,0,0,1,0,1.329964538,4
70,16,female,Asian,high school,0.941223958,1,no,4,0,0,1,0,3.283916522,1
71,16,male,African American,bachelor,13.3709339,6,no,2,1,0,0,0,2.937454182,2
72,16,female,African American,high school,17.25541555,28,no,3,0,0,1,1,0.738868203,4
73,15,male,African American,high school,3.25805309,8,no,2,1,1,0,0,2.556801663,2
74,16,male,CaucAsian, school,16.24827315,4,yes,2,0,0,0,0,3.300928569,1
75,15,female,CaucAsian, school,17.06791467,14,no,3,1,0,1,0,2.200682947,3
76,16,male,CaucAsian, school,18.28680885,17,no,3,0,1,0,0,1.855865573,4
77,18,male,CaucAsian,bachelor,5.305701782,3,no,3,0,0,0,0,2.734401494,2
78,18,female,African American, school,18.0790613,18,yes,1,1,1,0,0,2.131737297,3
79,17,female,CaucAsian,none,6.413255095,19,no,1,0,0,0,0,0.979769911,4
80,18,female,others,high school,11.04676027,25,no,3,0,1,0,0,0.994325024,4
81,17,male,others,high school,1.010149417,6,no,1,0,1,0,0,2.074699977,3
82,18,female,Asian,bachelor,0.877621767,25,no,2,0,0,0,0,0.500508036,4
83,15,female,African American,high school,14.40746425,7,no,0,1,1,0,0,2.532438418,2
84,18,male,Asian,high school,8.88959956,16,no,1,0,1,0,0,1.463378036,4
85,17,female,CaucAsian,bachelor,5.125847507,12,no,3,1,1,0,0,2.342836773,3
86,17,female,Asian, school,3.80826992,23,no,3,0,0,0,0,1.158846334,4
87,16,female,CaucAsian,high school,13.39906982,20,yes,1,1,0,1,1,1.523748745,4
88,15,male,Asian,high school,0.008030881,27,no,1,0,0,1,0,0,4
89,18,male,CaucAsian,high school,16.11782338,22,no,0,1,0,1,0,1.058622014,4
90,16,male,Asian,high school,1.584992123,10,no,2,0,0,1,1,2.229740184,3
91,18,male,others,high school,3.829792298,26,no,1,0,0,0,1,0.194743281,4
92,18,female,CaucAsian,bachelor,7.724727906,0,no,2,1,1,0,0,3.506920071,0
93,16,male,CaucAsian,bachelor,9.697174794,1,yes,3,0,0,0,0,3.552286943,0
94,16,male,others,bachelor,7.099902316,16,yes,3,0,1,0,0,2.238491354,3
95,16,female,CaucAsian,high school,6.4142433,4,no,1,1,1,0,0,2.708472344,2
96,16,female,Asian, school,19.27832024,29,no,3,0,0,0,1,0.732908234,4
97,16,female,African American,high school,12.83159362,29,no,4,0,0,1,0,0.965482445,4
98,18,male,CaucAsian,bachelor,0.468659107,5,no,2,0,1,0,0,2.55523286,2
99,16,male,CaucAsian, school,8.603518169,25,no,2,1,0,1,1,0.7443223,4
100,15,male,CaucAsian,high school,17.50017399,24,no,2,0,0,0,0,0.722056581,4
